NAMA PRODUK;PRODUCT DESCRIPTION;KATEGORI PRODUK;SATUAN UNIT;MERK;HPP;ECERAN;PARTAI;GROSIR
SHEET WHITE OAK;VIOSHEET VR 0531;12;5;VIOLAM;45000;50000;47000;48000
SHEET BUSAN CHEERY;VIOSHEET VR 0655;12;5;VIOLAM;45000;50000;47000;48000
SHEET ROYAL WALNUT;VIOSHEET VR 0107;12;5;VIOLAM;45000;50000;47000;48000
SHEET ESPRESSO OAK;VIOSHEET VR 0003;12;5;VIOLAM;45000;50000;47000;48000
SHEET BLACK OAK;VIOSHEET VR 0415;12;5;VIOLAM;45000;50000;47000;48000
SHEET URBAN TEAK;VIOSHEET VR 0604;12;5;VIOLAM;45000;50000;47000;48000
SHEET BROWN WOODCUT;VIOSHEET VR 0707;12;5;VIOLAM;45000;50000;47000;48000
SHEET DARK WENGE;VIOSHEET VR 0413;12;5;VIOLAM;45000;50000;47000;48000
SHEET DAEGU CANE;VIOSHEET VR 0518;12;5;VIOLAM;45000;50000;47000;48000
SHEET ENTERNAL CANE;VIOSHEET VR 0519;12;5;VIOLAM;45000;50000;47000;48000
SHEET SILVER CANE;VIOSHEET VR 0520;12;5;VIOLAM;45000;50000;47000;48000
SHEET BARK WOOD;VIOSHEET VR 0297;12;5;VIOLAM;45000;50000;47000;48000
SHEET COOL TEAK;VIOSHEET VR 0231;12;5;VIOLAM;45000;50000;47000;48000
SHEET BROWN PINE;VIOSHEET VR 0817;12;5;VIOLAM;45000;50000;47000;48000
SHEET WHITE NANO GLOSSY;VIOSHEET VR 1004;12;5;VIOLAM;45000;50000;47000;48000
SHEET CAPITAL;VIOSHEET VR 0537;12;5;VIOLAM;45000;50000;47000;48000
SHEET RUSTIC TEAK;VIOSHEET VR 0603;12;5;VIOLAM;45000;50000;47000;48000
SHEET ROYAL OAK;VIOSHEET VR 0400;12;5;VIOLAM;45000;50000;47000;48000
SHEET SILVER ;VIOSHEET VR 9598;12;5;VIOLAM;45000;50000;47000;48000
SHEET JEJU WALNUT;VIOSHEET VR 0407;12;5;VIOLAM;45000;50000;47000;48000
SHEET PY 001 PT;SHEET PY 001 PT;12;5;HOMEGA;45000;50000;47000;48000
SHEET PY 003 PT;SHEET PY 003 PT;12;5;HOMEGA;45000;50000;47000;48000
SHEET PY 004 PT;SHEET PY 004 PT;12;5;HOMEGA;45000;50000;47000;48000
SHEET PY 008 T;SHEET PY 008 T;12;5;HOMEGA;45000;50000;47000;48000
SHEET PY 009 T;SHEET PY 009 T;12;5;HOMEGA;45000;50000;47000;48000
SHEET PY 010 T;SHEET PY 010 T;12;5;HOMEGA;45000;50000;47000;48000
SHEET PY 011 T;SHEET PY 011 T;12;5;HOMEGA;45000;50000;47000;48000
SHEET PY 012 T;SHEET PY 012 T;12;5;HOMEGA;45000;50000;47000;48000
SHEET PY 013 T;SHEET PY 013 T;12;5;HOMEGA;45000;50000;47000;48000
SHEET PY 014 T;SHEET PY 014 T;12;5;HOMEGA;45000;50000;47000;48000
SHEET PY 015 T;SHEET PY 015 T;12;5;HOMEGA;45000;50000;47000;48000
SHEET PY 017 T;SHEET PY 017 T;12;5;HOMEGA;45000;50000;47000;48000
SHEET PY 018 T;SHEET PY 018 T;12;5;HOMEGA;45000;50000;47000;48000
SHEET PY 022 T;SHEET PY 022 T;12;5;HOMEGA;45000;50000;47000;48000
SHEET PY 023 T;SHEET PY 023 T;12;5;HOMEGA;45000;50000;47000;48000
SHEET PY 026 G ;SHEET PY 026 G ;12;5;HOMEGA;45000;50000;47000;48000
SHEET PY 027 G;SHEET PY 027 G;12;5;HOMEGA;45000;50000;47000;48000
SHEET PY 030 G;SHEET PY 030 G;12;5;HOMEGA;45000;50000;47000;48000
SHEET PY 031 G;SHEET PY 031 G;12;5;HOMEGA;45000;50000;47000;48000
SHEET PY 032 G;SHEET PY 032 G;12;5;HOMEGA;45000;50000;47000;48000
SHEET PY 033 G;SHEET PY 033 G;12;5;HOMEGA;45000;50000;47000;48000
SHEET 593 B;SHEET 593 B;12;5;TACO;45000;50000;47000;48000
SHEET 2221 B;SHEET 2221 B;12;5;TACO;45000;50000;47000;48000
SHEET 1878 ;SHEET 1878 ;12;5;TACO;45000;50000;47000;48000
SHEET 351 L;SHEET 351 L;12;5;TACO;45000;50000;47000;48000
SHEET 1028 Z;SHEET 1028 Z;12;5;TACO;45000;50000;47000;48000
ALM L 3M;ALUMINIUM L 3 MTR SILVER;27;10;;1;37500;34500;35500
ALM M 3M;ALUMINIUM M 3 MTR SILVER;27;10;;1;42500;39500;40500
ALM L 6M;ALUMINIUM L 6 MTR SILVER;27;10;;1;75000;72000;73000
ALM M 6M;ALUMINIUM M 6 MTR SILVER;27;10;;1;85000;82000;83000
SIKU L  8 MM DOFF;SIKU L   8 X   8MM DOFF;27;6;;1;35000;35000;35000
SIKU L 8 MM KILAP;SIKU L   8 X   8MM KILAP;27;6;;1;35000;35000;35000
SIKU L 10MM DOFF;SIKU L 10 X 10MM DOFF;27;6;;1;37500;37500;37500
SIKU L 10MM KILAP;SIKU L 10 X 10MM KILAP;27;6;;1;37500;37500;37500
SIKU L 12MM DOFF;SIKU L 12 X 12MM DOFF;27;6;;1;42500;42500;42500
SIKU L 12MM KILAP;SIKU L 12 X 12MM KILAP;27;6;;1;42500;42500;42500
SIKU L 15MM DOFF;SIKU L 15 X 15MM DOFF;27;6;;1;52500;52500;52500
SIKU L 15MM KILAP;SIKU L 15 X 15MM KILAP;27;6;;1;52500;52500;52500
SIKU L 20MM DOFF;SIKU L 20 X 20MM DOFF;27;6;;1;72500;72500;72500
SIKU L 20MM KILAP;SIKU L 20 X 20MM KILAP;27;6;;1;72500;72500;72500
SIKU L 25MM DOFF;SIKU L 25 X 25MM DOFF;27;6;;1;87500;87500;87500
SIKU L 25MM KILAP;SIKU L 25 X 25MM KILAP;27;6;;1;87500;87500;87500
U 8 MM DOFF;U   8 X   8MM DOFF;27;6;;1;65000;65000;65000
U 8 MM KILAP;U   8 X   8MM KILAP;27;6;;1;65000;65000;65000
U 10 MM DOFF;U 10 X 10MM DOFF;27;6;;1;80000;80000;80000
U 10 MM KILAP;U 10 X 10MM KILAP;27;6;;1;80000;80000;80000
U 12 MM DOFF;U 12 X 12MM DOFF;27;6;;1;90000;90000;90000
U 12 MM KILAP;U 12 X 12MM KILAP;27;6;;1;90000;90000;90000
U 15 MM DOFF;U 15 X 15MM DOFF;27;6;;1;115000;115000;115000
U 15 MM KILAP;U 15 X 15MM KILAP;27;6;;1;115000;115000;115000
U 20 MM DOFF;U 20 X 20MM DOFF;27;6;;1;150000;150000;150000
U 20 MM KILAP;U 20 X 20MM KILAP;27;6;;1;150000;150000;150000
PLAT STRIP 8 MM DOFF;PLAT STRIP STL 8 MM DOFF;27;6;;1;33500;33500;33500
PLAT STRIP 8 MM KILAP;PLAT STRIP STL 8 MM KILAP;27;6;;1;33500;33500;33500
PLAT STRIP 10 MM DOFF;PLAT STRIP STL 10 MM DOFF;27;6;;1;37500;37500;37500
PLAT STRIP 10 MM KILAP;PLAT STRIP STL 10 MM KILAP;27;6;;1;37500;37500;37500
PLAT STRIP 12 MM DOFF;PLAT STRIP STL 12 MM DOFF;27;6;;1;40000;40000;40000
PLAT STRIP 12 MM KILAP;PLAT STRIP STL 12 MM KILAP;27;6;;1;40000;40000;40000
PLAT STRIP 15 MM DOFF;PLAT STRIP STL 15 MM DOFF;27;6;;1;45000;45000;45000
PLAT STRIP 15 MM KILAP;PLAT STRIP STL 15 MM KILAP;27;6;;1;45000;45000;45000
PLAT STRIP 20 MM DOFF;PLAT STRIP STL 20 MM DOFF;27;6;;1;47500;47500;47500
PLAT STRIP 20 MM KILAP;PLAT STRIP STL 20 MM KILAP;27;6;;1;47500;47500;47500
PLAT STRIP 25 MM DOFF;PLAT STRIP STL 25 MM DOFF;27;6;;1;50000;50000;50000
PLAT STRIP 25 MM KILAP;PLAT STRIP STL 25 MM KILAP;27;6;;1;50000;50000;50000
PLAT STRIP 30 MM DOFF;PLAT STRIP STL 30 MM DOFF;27;6;;1;55000;55000;55000
PLAT STRIP 30 MM KILAP;PLAT STRIP STL 30 MM KILAP;27;6;;1;55000;55000;55000
PLAT STRIP 50 MM DOFF;PLAT STRIP STL 50 MM DOFF;27;6;;1;75000;75000;75000
